t,s,e,i,r
0,1000000,0,3,0
0.028293393896787228,1000000,0,2,1
0.11523709273171488,999999,1,2,1
0.2661639661951865,999999,0,3,1
0.32166632029984304,999998,1,3,1
0.34993329780726967,999998,1,2,2
0.4520483394294219,999998,1,1,3
0.4975375198736641,999997,2,1,3
0.9689376746809166,999996,3,1,3
1.2331608543789894,999996,2,2,3
1.2371557663748174,999996,2,1,4
1.2983406777496136,999996,1,2,4
1.4694714971403093,999995,2,2,4
1.5313258522890267,999995,1,3,4
1.7126923907344724,999995,1,2,5
1.7849764359436535,999994,2,2,5
1.9256272333995188,999994,1,3,5
1.93327161936001,999993,2,3,5
2.043505153165788,999993,2,2,6
2.1625602093964704,999993,1,3,6
2.2368298642585365,999992,2,3,6
2.264058374389727,999991,3,3,6
2.302605823984459,999990,4,3,6
2.3090040154358875,999990,3,4,6
2.326753235569965,999989,4,4,6
2.3277667557055595,999988,5,4,6
2.3320982438503606,999987,6,4,6
2.367144365678622,999987,6,3,7
2.3984995304930194,999986,7,3,7
2.4507450020241652,999986,6,4,7
2.469992759629045,999985,7,4,7
2.598371996604067,999985,6,5,7
2.6003207058999984,999985,5,6,7
2.6434040700651837,999985,5,5,8
2.7542689684803134,999984,6,5,8
2.7666423414697188,999983,7,5,8
2.824344329234078,999983,6,6,8
2.8319852570049058,999983,5,7,8
2.839123451827292,999983,5,6,9
2.851087963917339,999983,5,5,10
2.893634943542279,999983,4,6,10
3.013400971206021,999983,3,7,10
