t,s,e,i,r
0,1000000,0,3,0
0.008552751294575934,1000000,0,2,1
0.1598534877974812,999999,1,2,1
0.16951027299871604,999998,2,2,1
0.17166812106354098,999997,3,2,1
0.45192148959020406,999997,3,1,2
0.4584082641694709,999996,4,1,2
0.5947360712246305,999996,3,2,2
0.6120902565287862,999996,2,3,2
0.6151383993828543,999995,3,3,2
0.6278484382524303,999995,2,4,2
0.6434242167756836,999995,2,3,3
0.7829573509610495,999994,3,3,3
0.7884664532430978,999994,3,2,4
0.8096569341611477,999994,3,1,5
0.9403681198955025,999994,3,0,6
0.9812823042380666,999994,2,1,6
0.9954072175608456,999994,1,2,6
1.0509078302069916,999994,1,1,7
1.190884211455866,999994,0,2,7
1.3311399015990244,999993,1,2,7
1.4855253585425199,999992,2,2,7
1.5396050562352155,999991,3,2,7
1.8555217937806288,999991,2,3,7
2.050828728031829,999991,1,4,7
2.05491127983964,999990,2,4,7
2.0960072259790907,999989,3,4,7
2.1273772174338763,999988,4,4,7
2.2607642187806656,999988,3,5,7
2.2617415789452897,999988,3,4,8
2.6042357088750063,999988,2,5,8
2.625484276102945,999988,1,6,8
2.649750757100062,999988,1,5,9
2.7487246645896453,999988,0,6,9
2.8369469396755234,999987,1,6,9
2.9587715219560535,999986,2,6,9
3.0481865760451554,999985,3,6,9
